Culture,Country,Predicate,Accuracy (%),Samples
Asian,Japan,P495 (Country of origin),1.73,923
Asian,Japan,P20 (Place of death),0.19,517
Asian,Japan,P47 (Shares border with),0.0,1
Asian,Japan,P530 (Diplomatic relation),0.0,1
Asian,Lebanon,P17 (Country),0.0,1
Asian,Malaysia,P30 (Continent),100.0,1
Asian,Malaysia,P36 (Capital),100.0,1
Asian,Malaysia,P47 (Shares border with),100.0,1
Asian,Malaysia,P106 (Occupation),77.78,9
Asian,Malaysia,P103 (Native language),66.67,3
Asian,Malaysia,P1412 (Languages spoken or published),55.56,9
Asian,Malaysia,P17 (Country),50.0,28
Asian,Malaysia,P27 (Country of citizenship),36.36,11
Asian,Malaysia,P1303 (Instrument),25.0,4
Asian,Malaysia,P19 (Place of birth),20.0,5
Asian,Malaysia,P20 (Place of death),14.29,7
Asian,Malaysia,P136 (Genre),0.0,9
Asian,Malaysia,P190 (Sister city),0.0,7
Asian,Malaysia,P264 (Record label),0.0,3
Asian,Malaysia,P37 (Official language),0.0,1
Asian,Malaysia,P449 (Original network),0.0,1
Asian,Malaysia,P530 (Diplomatic relation),0.0,1
Asian,Mongolia,P106 (Occupation),100.0,1
Asian,Mongolia,P1376 (Capital of),100.0,1
Asian,Mongolia,P1412 (Languages spoken or published),100.0,1
Asian,Mongolia,P27 (Country of citizenship),100.0,1
Asian,Mongolia,P30 (Continent),100.0,1
Asian,Mongolia,P36 (Capital),100.0,1
Asian,Mongolia,P37 (Official language),100.0,1
Asian,Mongolia,P47 (Shares border with),100.0,1
Asian,Mongolia,P17 (Country),0.0,3
Asian,Mongolia,P190 (Sister city),0.0,2
Asian,Mongolia,P19 (Place of birth),0.0,1
Asian,Mongolia,P20 (Place of death),0.0,3
Asian,Mongolia,P530 (Diplomatic relation),0.0,1
Asian,Myanmar,P103 (Native language),100.0,2
Asian,Myanmar,P1376 (Capital of),100.0,1
Asian,Myanmar,P1412 (Languages spoken or published),100.0,1
Asian,Myanmar,P30 (Continent),100.0,1
Asian,Myanmar,P37 (Official language),100.0,1
Asian,Myanmar,P47 (Shares border with),100.0,1
Asian,Myanmar,P17 (Country),42.86,7
Asian,Myanmar,P19 (Place of birth),33.33,3
Asian,Myanmar,P106 (Occupation),0.0,1
Asian,Myanmar,P190 (Sister city),0.0,3
Asian,Myanmar,P20 (Place of death),0.0,11
Asian,Myanmar,P27 (Country of citizenship),0.0,1
Asian,Myanmar,P36 (Capital),0.0,1
Asian,Myanmar,P530 (Diplomatic relation),0.0,1
Asian,North Korea,P103 (Native language),100.0,6
Asian,North Korea,P30 (Continent),100.0,1
Asian,North Korea,P36 (Capital),100.0,1
Asian,North Korea,P37 (Official language),100.0,1
Asian,North Korea,P47 (Shares border with),100.0,1
Asian,North Korea,P27 (Country of citizenship),66.67,3
Asian,North Korea,P106 (Occupation),40.0,5
Asian,North Korea,P1412 (Languages spoken or published),40.0,5
Asian,North Korea,P19 (Place of birth),16.67,12
Asian,North Korea,P17 (Country),14.29,7
Asian,North Korea,P1303 (Instrument),0.0,1
Asian,North Korea,P190 (Sister city),0.0,8
Asian,North Korea,P20 (Place of death),0.0,22
Asian,North Korea,P495 (Country of origin),0.0,1
Asian,North Korea,P530 (Diplomatic relation),0.0,1
Asian,Philippines,P1376 (Capital of),100.0,1
Asian,Philippines,P30 (Continent),100.0,1
Asian,Philippines,P36 (Capital),100.0,1
Asian,Philippines,P37 (Official language),100.0,1
Asian,Philippines,P47 (Shares border with),100.0,1
Asian,Philippines,P106 (Occupation),64.29,14
Asian,Philippines,P103 (Native language),60.0,5
Asian,Philippines,P17 (Country),42.86,21
Asian,Philippines,P19 (Place of birth),37.5,8
Asian,Philippines,P1412 (Languages spoken or published),27.27,11
Asian,Philippines,P136 (Genre),20.0,5
Asian,Philippines,P1303 (Instrument),14.29,7
Asian,Philippines,P27 (Country of citizenship),14.29,14
Asian,Philippines,P20 (Place of death),6.67,15
Asian,Philippines,P190 (Sister city),0.0,1
Asian,Philippines,P264 (Record label),0.0,3
Asian,Philippines,P449 (Original network),0.0,1
Asian,Philippines,P495 (Country of origin),0.0,1
Asian,Philippines,P530 (Diplomatic relation),0.0,1
Asian,Singapore,P1412 (Languages spoken or published),100.0,1
Asian,Singapore,P264 (Record label),100.0,1
Asian,Singapore,P30 (Continent),100.0,1
Asian,Singapore,P364 (Original language of work),100.0,1
Asian,Singapore,P36 (Capital),100.0,1
Asian,Singapore,P37 (Official language),100.0,1
Asian,Singapore,P449 (Original network),100.0,1
Asian,Singapore,P47 (Shares border with),100.0,1
Asian,Singapore,P17 (Country),66.67,6
Asian,Singapore,P103 (Native language),50.0,2
Asian,Singapore,P106 (Occupation),50.0,4
Asian,Singapore,P27 (Country of citizenship),40.0,5
Asian,Singapore,P1303 (Instrument),0.0,1
Asian,Singapore,P136 (Genre),0.0,1
Asian,Singapore,P1376 (Capital of),0.0,1
Asian,Singapore,P190 (Sister city),0.0,1
Asian,Singapore,P530 (Diplomatic relation),0.0,1
Asian,South Korea,P1376 (Capital of),100.0,1
Asian,South Korea,P30 (Continent),100.0,1
Asian,South Korea,P36 (Capital),100.0,1
Asian,South Korea,P37 (Official language),100.0,1
Asian,South Korea,P103 (Native language),92.6,311
Asian,South Korea,P1412 (Languages spoken or published),55.45,110
Asian,South Korea,P364 (Original language of work),49.21,63
Asian,South Korea,P17 (Country),45.1,51
Asian,South Korea,P27 (Country of citizenship),27.03,74
Asian,South Korea,P106 (Occupation),20.24,84
Asian,South Korea,P264 (Record label),19.03,226
Asian,South Korea,P136 (Genre),6.64,211
Asian,South Korea,P19 (Place of birth),6.32,95
Asian,South Korea,P495 (Country of origin),2.5,40
Asian,South Korea,P449 (Original network),1.81,276
Asian,South Korea,P1303 (Instrument),1.14,176
Asian,South Korea,P190 (Sister city),0.0,40
Asian,South Korea,P20 (Place of death),0.0,104
Asian,South Korea,P47 (Shares border with),0.0,1
Asian,South Korea,P530 (Diplomatic relation),0.0,1
Asian,Taiwan,P30 (Continent),100.0,1
Asian,Taiwan,P36 (Capital),100.0,1
Asian,Taiwan,P37 (Official language),100.0,1
Asian,Taiwan,P17 (Country),72.97,37
Asian,Taiwan,P103 (Native language),70.0,30
Asian,Taiwan,P1412 (Languages spoken or published),62.5,16
Asian,Taiwan,P27 (Country of citizenship),61.11,18
Asian,Taiwan,P106 (Occupation),45.83,24
Asian,Taiwan,P364 (Original language of work),18.18,11
Asian,Taiwan,P1303 (Instrument),6.9,29
Asian,Taiwan,P19 (Place of birth),5.56,18
Asian,Taiwan,P136 (Genre),0.0,19
Asian,Taiwan,P1376 (Capital of),0.0,1
Asian,Taiwan,P190 (Sister city),0.0,9
Asian,Taiwan,P20 (Place of death),0.0,17
Asian,Taiwan,P264 (Record label),0.0,14
Asian,Taiwan,P449 (Original network),0.0,12
Asian,Taiwan,P47 (Shares border with),0.0,1
Asian,Taiwan,P495 (Country of origin),0.0,4
Asian,Taiwan,P530 (Diplomatic relation),0.0,1
Asian,Thailand,P30 (Continent),100.0,1
Asian,Thailand,P36 (Capital),100.0,1
Asian,Thailand,P37 (Official language),100.0,1
Asian,Thailand,P47 (Shares border with),100.0,1
Asian,Thailand,P103 (Native language),91.67,12
Asian,Thailand,P17 (Country),78.18,55
Asian,Thailand,P1412 (Languages spoken or published),52.63,19
Asian,Thailand,P106 (Occupation),23.08,26
Asian,Thailand,P19 (Place of birth),12.5,24
Asian,Thailand,P264 (Record label),8.0,25
Asian,Thailand,P1303 (Instrument),0.0,19
Asian,Thailand,P136 (Genre),0.0,25
Asian,Thailand,P190 (Sister city),0.0,4
Asian,Thailand,P20 (Place of death),0.0,34
Asian,Thailand,P27 (Country of citizenship),0.0,26
Asian,Thailand,P364 (Original language of work),0.0,5
Asian,Thailand,P449 (Original network),0.0,3
Asian,Thailand,P495 (Country of origin),0.0,2
Asian,Thailand,P530 (Diplomatic relation),0.0,1
Asian,UK,P17 (Country),50.0,2
Asian,UK,P27 (Country of citizenship),0.0,1
Asian,UK,P495 (Country of origin),0.0,3
Asian,USA,P17 (Country),33.33,3
Asian,USA,P27 (Country of citizenship),0.0,1
Asian,Unknown Country,P1376 (Capital of),100.0,11
Asian,Unknown Country,P17 (Country),35.71,14
Asian,Unknown Country,P27 (Country of citizenship),11.63,43
Asian,Unknown Country,P495 (Country of origin),0.0,1
Asian,Vietnam,P30 (Continent),100.0,1
Asian,Vietnam,P36 (Capital),100.0,1
Asian,Vietnam,P37 (Official language),100.0,1
Asian,Vietnam,P47 (Shares border with),100.0,1
Asian,Vietnam,P495 (Country of origin),100.0,1
Asian,Vietnam,P103 (Native language),66.67,3
Asian,Vietnam,P17 (Country),65.22,23
Asian,Vietnam,P1412 (Languages spoken or published),33.33,15
Asian,Vietnam,P106 (Occupation),20.0,15
Asian,Vietnam,P27 (Country of citizenship),14.29,14
Asian,Vietnam,P19 (Place of birth),10.0,20
Asian,Vietnam,P1303 (Instrument),0.0,9
Asian,Vietnam,P136 (Genre),0.0,9
Asian,Vietnam,P190 (Sister city),0.0,7
Asian,Vietnam,P20 (Place of death),0.0,52
Asian,Vietnam,P364 (Original language of work),0.0,1
Asian,Vietnam,P530 (Diplomatic relation),0.0,1
Western,Andorra,P1376 (Capital of),100.0,1
Western,Andorra,P30 (Continent),100.0,1
Western,Andorra,P36 (Capital),100.0,1
Western,Andorra,P37 (Official language),100.0,1
Western,Andorra,P47 (Shares border with),100.0,1
Western,Andorra,P530 (Diplomatic relation),100.0,1
Western,Australia,P364 (Original language of work),100.0,6
Western,Australia,P36 (Capital),100.0,1
Western,Australia,P37 (Official language),100.0,1
Western,Australia,P103 (Native language),80.0,5
Western,Australia,P106 (Occupation),68.42,19
Western,Australia,P19 (Place of birth),65.22,23
Western,Australia,P17 (Country),64.71,17
Western,Australia,P1303 (Instrument),45.0,20
Western,Australia,P27 (Country of citizenship),38.89,18
Western,Australia,P495 (Country of origin),14.29,7
Western,Australia,P264 (Record label),10.53,19
Western,Australia,P190 (Sister city),7.14,14
Western,Australia,P136 (Genre),0.0,18
Western,Australia,P1412 (Languages spoken or published),0.0,14
Western,Australia,P20 (Place of death),0.0,5
Western,Australia,P30 (Continent),0.0,1
Western,Australia,P449 (Original network),0.0,6
Western,Australia,P47 (Shares border with),0.0,1
Western,Australia,P530 (Diplomatic relation),0.0,1
Western,Austria,P106 (Occupation),100.0,2
Western,Austria,P30 (Continent),100.0,1
Western,Austria,P364 (Original language of work),100.0,1
Western,Austria,P36 (Capital),100.0,1
Western,Austria,P37 (Official language),100.0,1
Western,Austria,P47 (Shares border with),100.0,1
Western,Austria,P19 (Place of birth),88.89,9
Western,Austria,P103 (Native language),66.67,3
Western,Austria,P17 (Country),50.0,8
Western,Austria,P264 (Record label),40.0,5
Western,Austria,P1412 (Languages spoken or published),25.0,4
Western,Austria,P136 (Genre),16.67,6
Western,Austria,P20 (Place of death),5.88,17
Western,Austria,P1303 (Instrument),0.0,4
Western,Austria,P190 (Sister city),0.0,5
Western,Austria,P27 (Country of citizenship),0.0,4
Western,Austria,P495 (Country of origin),0.0,2
Western,Austria,P530 (Diplomatic relation),0.0,1
Western,Belgium,P30 (Continent),100.0,1
Western,Belgium,P36 (Capital),100.0,1
Western,Belgium,P37 (Official language),100.0,1
Western,Belgium,P47 (Shares border with),100.0,1
Western,Belgium,P17 (Country),72.73,11
Western,Belgium,P103 (Native language),58.33,12
Western,Belgium,P19 (Place of birth),35.71,14
Western,Belgium,P1303 (Instrument),33.33,3
Western,Belgium,P27 (Country of citizenship),16.67,6
Western,Belgium,P106 (Occupation),14.29,7
Western,Belgium,P190 (Sister city),10.0,10
Western,Belgium,P136 (Genre),0.0,6
Western,Belgium,P1412 (Languages spoken or published),0.0,7
Western,Belgium,P20 (Place of death),0.0,11
Western,Belgium,P264 (Record label),0.0,2
Western,Belgium,P449 (Original network),0.0,1
Western,Belgium,P495 (Country of origin),0.0,5
Western,Belgium,P530 (Diplomatic relation),0.0,1
Western,Brazil,P27 (Country of citizenship),50.0,2
Western,Canada,P1376 (Capital of),100.0,1
Western,Canada,P30 (Continent),100.0,1
Western,Canada,P36 (Capital),100.0,1
Western,Canada,P37 (Official language),100.0,1
Western,Canada,P364 (Original language of work),96.15,26
Western,Canada,P103 (Native language),78.26,23
Western,Canada,P17 (Country),58.62,29
Western,Canada,P19 (Place of birth),54.05,37
Western,Canada,P106 (Occupation),50.0,42
Western,Canada,P1303 (Instrument),31.58,38
Western,Canada,P27 (Country of citizenship),29.27,41
Western,Canada,P264 (Record label),16.67,42
Western,Canada,P449 (Original network),14.81,54
Western,Canada,P136 (Genre),11.76,34
Western,Canada,P1412 (Languages spoken or published),11.43,35
Western,Canada,P190 (Sister city),0.0,29
Western,Canada,P20 (Place of death),0.0,12
Western,Canada,P47 (Shares border with),0.0,1
Western,Canada,P495 (Country of origin),0.0,29
Western,Canada,P530 (Diplomatic relation),0.0,1
Western,China,P17 (Country),0.0,1
Western,China,P495 (Country of origin),0.0,1
Western,Comoros,P17 (Country),100.0,1
Western,France,P30 (Continent),100.0,1
Western,France,P36 (Capital),100.0,1
Western,France,P37 (Official language),100.0,1
Western,France,P47 (Shares border with),100.0,1
Western,France,P103 (Native language),87.12,163
Western,France,P17 (Country),76.92,221
Western,France,P364 (Original language of work),60.0,40
Western,France,P1412 (Languages spoken or published),58.24,170
Western,France,P19 (Place of birth),56.55,145
Western,France,P106 (Occupation),54.55,154
Western,France,P1376 (Capital of),50.0,2
Western,France,P27 (Country of citizenship),37.42,155
Western,France,P1303 (Instrument),18.42,76
Western,France,P136 (Genre),14.53,117
Western,France,P264 (Record label),13.04,46
Western,France,P449 (Original network),10.53,19
Western,France,P20 (Place of death),2.38,210
Western,France,P495 (Country of origin),2.13,47
Western,France,P190 (Sister city),0.0,40
Western,France,P530 (Diplomatic relation),0.0,1
Western,Germany,P1376 (Capital of),100.0,2
Western,Germany,P30 (Continent),100.0,1
Western,Germany,P36 (Capital),100.0,1
Western,Germany,P47 (Shares border with),100.0,1
Western,Germany,P364 (Original language of work),95.0,20
Western,Germany,P17 (Country),84.0,100
Western,Germany,P103 (Native language),81.08,37
Western,Germany,P19 (Place of birth),57.14,56
Western,Germany,P106 (Occupation),54.35,46
Western,Germany,P1303 (Instrument),22.73,22
Western,Germany,P136 (Genre),22.22,27
Western,Germany,P27 (Country of citizenship),21.43,42
Western,Germany,P1412 (Languages spoken or published),20.83,48
Western,Germany,P495 (Country of origin),9.09,22
Western,Germany,P264 (Record label),7.14,14
Western,Germany,P20 (Place of death),4.49,89
Western,Germany,P190 (Sister city),0.0,77
Western,Germany,P37 (Official language),0.0,1
Western,Germany,P449 (Original network),0.0,8
Western,Germany,P530 (Diplomatic relation),0.0,1
Western,Ireland,P30 (Continent),100.0,1
Western,Ireland,P36 (Capital),100.0,1
Western,Ireland,P37 (Official language),100.0,1
Western,Ireland,P47 (Shares border with),100.0,1
Western,Ireland,P106 (Occupation),66.67,9
Western,Ireland,P103 (Native language),50.0,2
Western,Ireland,P19 (Place of birth),50.0,8
Western,Ireland,P1303 (Instrument),30.0,10
Western,Ireland,P1412 (Languages spoken or published),14.29,7
Western,Ireland,P136 (Genre),6.67,15
Western,Ireland,P1376 (Capital of),0.0,1
Western,Ireland,P17 (Country),0.0,4
Western,Ireland,P190 (Sister city),0.0,2
Western,Ireland,P20 (Place of death),0.0,1
Western,Ireland,P264 (Record label),0.0,11
Western,Ireland,P27 (Country of citizenship),0.0,8
Western,Ireland,P449 (Original network),0.0,1
Western,Ireland,P495 (Country of origin),0.0,4
Western,Ireland,P530 (Diplomatic relation),0.0,1
Western,Italy,P30 (Continent),100.0,1
Western,Italy,P36 (Capital),100.0,1
Western,Italy,P37 (Official language),100.0,1
Western,Italy,P103 (Native language),91.89,37
Western,Italy,P19 (Place of birth),69.35,62
Western,Italy,P17 (Country),65.12,43
Western,Italy,P1412 (Languages spoken or published),58.7,46
Western,Italy,P106 (Occupation),48.78,41
Western,Italy,P364 (Original language of work),33.33,3
Western,Italy,P27 (Country of citizenship),23.08,26
Western,Italy,P136 (Genre),17.86,28
Western,Italy,P264 (Record label),13.64,22
Western,Italy,P1303 (Instrument),5.26,38
Western,Italy,P20 (Place of death),3.19,94
Western,Italy,P190 (Sister city),2.5,40
Western,Italy,P449 (Original network),0.0,2
Western,Italy,P47 (Shares border with),0.0,1
Western,Italy,P495 (Country of origin),0.0,9
Western,Italy,P530 (Diplomatic relation),0.0,1
Western,Japan,P17 (Country),100.0,1
Western,Japan,P27 (Country of citizenship),0.0,1
Western,Japan,P495 (Country of origin),0.0,3
Western,Kuwait,P27 (Country of citizenship),100.0,1
Western,Liechtenstein,P1376 (Capital of),100.0,1
Western,Liechtenstein,P30 (Continent),100.0,1
Western,Liechtenstein,P36 (Capital),100.0,1
Western,Liechtenstein,P37 (Official language),100.0,1
Western,Liechtenstein,P47 (Shares border with),100.0,1
Western,Liechtenstein,P530 (Diplomatic relation),0.0,1
Western,Luxembourg,P30 (Continent),100.0,1
Western,Luxembourg,P36 (Capital),100.0,1
Western,Luxembourg,P37 (Official language),100.0,1
Western,Luxembourg,P47 (Shares border with),100.0,1
Western,Luxembourg,P1376 (Capital of),0.0,1
Western,Luxembourg,P17 (Country),0.0,3
Western,Luxembourg,P190 (Sister city),0.0,1
Western,Luxembourg,P530 (Diplomatic relation),0.0,1
Western,Monaco,P1376 (Capital of),100.0,1
Western,Monaco,P30 (Continent),100.0,1
Western,Monaco,P37 (Official language),100.0,1
Western,Monaco,P47 (Shares border with),100.0,1
Western,Monaco,P136 (Genre),0.0,1
Western,Monaco,P36 (Capital),0.0,1
Western,Monaco,P530 (Diplomatic relation),0.0,1
Western,Netherlands,P103 (Native language),100.0,1
Western,Netherlands,P17 (Country),50.0,4
Western,Netherlands,P19 (Place of birth),33.33,9
Western,Netherlands,P190 (Sister city),0.0,10
Western,Netherlands,P20 (Place of death),0.0,6
Western,Netherlands,P495 (Country of origin),0.0,5
Western,New Zealand,P1376 (Capital of),100.0,1
Western,New Zealand,P19 (Place of birth),100.0,2
Western,New Zealand,P36 (Capital),100.0,1
Western,New Zealand,P37 (Official language),100.0,1
Western,New Zealand,P47 (Shares border with),100.0,1
Western,New Zealand,P17 (Country),50.0,6
Western,New Zealand,P1303 (Instrument),20.0,5
Western,New Zealand,P103 (Native language),0.0,2
Western,New Zealand,P106 (Occupation),0.0,1
Western,New Zealand,P136 (Genre),0.0,4
Western,New Zealand,P1412 (Languages spoken or published),0.0,1
Western,New Zealand,P190 (Sister city),0.0,4
Western,New Zealand,P20 (Place of death),0.0,1
Western,New Zealand,P264 (Record label),0.0,5
Western,New Zealand,P27 (Country of citizenship),0.0,1
Western,New Zealand,P30 (Continent),0.0,1
Western,New Zealand,P449 (Original network),0.0,1
Western,New Zealand,P495 (Country of origin),0.0,1
Western,New Zealand,P530 (Diplomatic relation),0.0,1
Western,Portugal,P30 (Continent),100.0,1
Western,Portugal,P36 (Capital),100.0,1
Western,Portugal,P37 (Official language),100.0,1
Western,Portugal,P103 (Native language),85.71,7
Western,Portugal,P19 (Place of birth),80.0,5
Western,Portugal,P106 (Occupation),50.0,6
Western,Portugal,P1412 (Languages spoken or published),42.86,7
Western,Portugal,P17 (Country),40.0,10
Western,Portugal,P27 (Country of citizenship),33.33,6
Western,Portugal,P20 (Place of death),11.11,9
Western,Portugal,P1303 (Instrument),0.0,1
Western,Portugal,P136 (Genre),0.0,1
Western,Portugal,P190 (Sister city),0.0,10
Western,Portugal,P264 (Record label),0.0,1
Western,Portugal,P47 (Shares border with),0.0,1
Western,Portugal,P495 (Country of origin),0.0,1
Western,Portugal,P530 (Diplomatic relation),0.0,1
Western,San Marino,P1376 (Capital of),100.0,1
Western,San Marino,P30 (Continent),100.0,1
Western,San Marino,P36 (Capital),100.0,1
Western,San Marino,P37 (Official language),100.0,1
Western,San Marino,P47 (Shares border with),100.0,1
Western,San Marino,P530 (Diplomatic relation),0.0,1
Western,Spain,P1376 (Capital of),100.0,1
Western,Spain,P30 (Continent),100.0,1
Western,Spain,P364 (Original language of work),100.0,6
Western,Spain,P36 (Capital),100.0,1
Western,Spain,P37 (Official language),100.0,1
Western,Spain,P47 (Shares border with),100.0,1
Western,Spain,P103 (Native language),86.96,23
Western,Spain,P17 (Country),81.13,106
Western,Spain,P1412 (Languages spoken or published),62.5,32
Western,Spain,P19 (Place of birth),57.14,28
Western,Spain,P106 (Occupation),44.44,27
Western,Spain,P27 (Country of citizenship),35.71,28
Western,Spain,P1303 (Instrument),30.43,23
Western,Spain,P449 (Original network),20.0,5
Western,Spain,P264 (Record label),16.67,18
Western,Spain,P190 (Sister city),4.55,22
Western,Spain,P136 (Genre),3.12,32
Western,Spain,P20 (Place of death),0.0,30
Western,Spain,P495 (Country of origin),0.0,4
Western,Spain,P530 (Diplomatic relation),0.0,1
Western,Switzerland,P30 (Continent),100.0,1
Western,Switzerland,P37 (Official language),100.0,1
Western,Switzerland,P103 (Native language),66.67,3
Western,Switzerland,P19 (Place of birth),60.0,10
Western,Switzerland,P17 (Country),50.0,10
Western,Switzerland,P106 (Occupation),33.33,12
Western,Switzerland,P1412 (Languages spoken or published),27.27,11
Western,Switzerland,P136 (Genre),20.0,5
Western,Switzerland,P1303 (Instrument),0.0,2
Western,Switzerland,P190 (Sister city),0.0,4
Western,Switzerland,P20 (Place of death),0.0,32
Western,Switzerland,P264 (Record label),0.0,1
Western,Switzerland,P27 (Country of citizenship),0.0,10
Western,Switzerland,P36 (Capital),0.0,1
Western,Switzerland,P449 (Original network),0.0,1
Western,Switzerland,P47 (Shares border with),0.0,1
Western,Switzerland,P530 (Diplomatic relation),0.0,1
Western,UK,P1376 (Capital of),100.0,1
Western,UK,P30 (Continent),100.0,1
Western,UK,P36 (Capital),100.0,1
Western,UK,P37 (Official language),100.0,1
Western,UK,P364 (Original language of work),93.15,146
Western,UK,P103 (Native language),88.98,127
Western,UK,P106 (Occupation),55.17,145
Western,UK,P19 (Place of birth),46.72,137
Western,UK,P1303 (Instrument),36.31,179
Western,UK,P449 (Original network),32.52,123
Western,UK,P264 (Record label),23.24,185
Western,UK,P27 (Country of citizenship),17.57,148
Western,UK,P136 (Genre),13.66,183
Western,UK,P17 (Country),9.88,81
Western,UK,P190 (Sister city),6.82,44
Western,UK,P1412 (Languages spoken or published),4.27,164
Western,UK,P20 (Place of death),1.59,126
Western,UK,P47 (Shares border with),0.0,1
Western,UK,P495 (Country of origin),0.0,152
Western,UK,P530 (Diplomatic relation),0.0,1
Western,USA,P30 (Continent),100.0,1
Western,USA,P37 (Official language),100.0,1
Western,USA,P47 (Shares border with),100.0,1
Western,USA,P364 (Original language of work),94.15,752
Western,USA,P103 (Native language),86.85,555
Western,USA,P106 (Occupation),57.06,489
Western,USA,P19 (Place of birth),45.93,455
Western,USA,P449 (Original network),30.17,779
Western,USA,P264 (Record label),27.34,629
Western,USA,P1303 (Instrument),27.29,579
Western,USA,P136 (Genre),13.38,523
Western,USA,P27 (Country of citizenship),12.36,461
Western,USA,P190 (Sister city),2.58,155
Western,USA,P1412 (Languages spoken or published),2.2,454
Western,USA,P20 (Place of death),1.96,357
Western,USA,P17 (Country),0.91,331
Western,USA,P1376 (Capital of),0.0,1
Western,USA,P36 (Capital),0.0,1
Western,USA,P495 (Country of origin),0.0,706
Western,USA,P530 (Diplomatic relation),0.0,1
Western,Unknown Country,P1376 (Capital of),100.0,11
Western,Unknown Country,P17 (Country),30.77,13
Western,Unknown Country,P27 (Country of citizenship),14.29,42
Western,Unknown Country,P495 (Country of origin),0.0,2
